# Team 0: Uncountable Sean Jacksons, Team 1: jaeyong shim
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
2,Turn,1,-90,90,CHECK,0,0,0,"['7d', 'Ad']","['7h', '7s']","['9h', '5s', '9s', '6h']","['4d', '3d', '2h']","['2d', '4s', '8d']",4,4
2,Turn,0,-90,90,RAISE,3,0,0,"['7d', 'Ad']","['7h', '7s']","['9h', '5s', '9s', '6h']","['4d', '3d', '2h']","['2d', '4s', '8d']",4,4
2,Turn,1,-90,90,RAISE,6,0,0,"['7d', 'Ad']","['7h', '7s']","['9h', '5s', '9s', '6h']","['4d', '3d', '2h']","['2d', '4s', '8d']",4,4
2,Turn,0,-90,90,CALL,0,0,0,"['7d', 'Ad']","['7h', '7s']","['9h', '5s', '9s', '6h']","['4d', '3d', '2h']","['2d', '4s', '8d']",7,7
2,River,1,-90,90,CHECK,0,0,0,"['7d', 'Ad']","['7h', '7s']","['9h', '5s', '9s', '6h', '6s']","['4d', '3d', '2h']","['2d', '4s', '8d']",13,13
2,River,0,-90,90,CHECK,0,0,0,"['7d', 'Ad']","['7h', '7s']","['9h', '5s', '9s', '6h', '6s']","['4d', '3d', '2h']","['2d', '4s', '8d']",13,13
3,Pre-Flop,1,-103,103,RAISE,2,0,0,"['6s', '7d', '2d', '3d', '8d']","['5h', '6d', '9s', '2s', '9d']",[],[],[],1,1
3,Pre-Flop,0,-103,103,CALL,0,0,0,"['6s', '7d', '2d', '3d', '8d']","['5h', '6d', '9s', '2s', '9d']",[],[],[],2,2
3,Flop,0,-103,103,DISCARD,0,0,4,"['6s', '7d', '2d', '3d', '8d']","['5h', '6d', '9s', '2s', '9d']","['4d', '7s', '8s']",[],[],4,4
3,Flop,1,-103,103,DISCARD,0,0,1,"['6s', '8d']","['5h', '6d', '9s', '2s', '9d']","['4d', '7s', '8s']","['7d', '2d', '3d']",[],4,4
3,Flop,0,-103,103,RAISE,5,0,0,"['6s', '8d']","['5h', '6d']","['4d', '7s', '8s']","['7d', '2d', '3d']","['9s', '2s', '9d']",4,4
3,Flop,1,-103,103,RAISE,9,0,0,"['6s', '8d']","['5h', '6d']","['4d', '7s', '8s']","['7d', '2d', '3d']","['9s', '2s', '9d']",4,4
3,Flop,0,-103,103,RAISE,18,0,0,"['6s', '8d']","['5h', '6d']","['4d', '7s', '8s']","['7d', '2d', '3d']","['9s', '2s', '9d']",9,9
3,Flop,1,-103,103,RAISE,37,0,0,"['6s', '8d']","['5h', '6d']","['4d', '7s', '8s']","['7d', '2d', '3d']","['9s', '2s', '9d']",18,18
3,Flop,0,-103,103,RAISE,27,0,0,"['6s', '8d']","['5h', '6d']","['4d', '7s', '8s']","['7d', '2d', '3d']","['9s', '2s', '9d']",36,36
3,Flop,1,-103,103,CALL,0,0,0,"['6s', '8d']","['5h', '6d']","['4d', '7s', '8s']","['7d', '2d', '3d']","['9s', '2s', '9d']",73,73
3,Turn,0,-103,103,CHECK,0,0,0,"['6s', '8d']","['5h', '6d']","['4d', '7s', '8s', 'As']","['7d', '2d', '3d']","['9s', '2s', '9d']",100,100
3,Turn,1,-103,103,CHECK,0,0,0,"['6s', '8d']","['5h', '6d']","['4d', '7s', '8s', 'As']","['7d', '2d', '3d']","['9s', '2s', '9d']",100,100
3,River,0,-103,103,CHECK,0,0,0,"['6s', '8d']","['5h', '6d']","['4d', '7s', '8s', 'As', '9h']","['7d', '2d', '3d']","['9s', '2s', '9d']",100,100
3,River,1,-103,103,CHECK,0,0,0,"['6s', '8d']","['5h', '6d']","['4d', '7s', '8s', 'As', '9h']","['7d', '2d', '3d']","['9s', '2s', '9d']",100,100
4,Pre-Flop,0,-103,103,CALL,0,0,0,"['9d', '2s', '3s', '2h', '4s']","['6h', '3d', '9s', '8d', '9h']",[],[],[],1,1
4,Pre-Flop,1,-103,103,RAISE,2,0,0,"['9d', '2s', '3s', '2h', '4s']","['6h', '3d', '9s', '8d', '9h']",[],[],[],2,2
4,Pre-Flop,0,-103,103,CALL,0,0,0,"['9d', '2s', '3s', '2h', '4s']","['6h', '3d', '9s', '8d', '9h']",[],[],[],2,2
4,Flop,1,-103,103,DISCARD,0,2,4,"['9d', '2s', '3s', '2h', '4s']","['6h', '3d', '9s', '8d', '9h']","['6d', 'Ah', '2d']",[],[],4,4
4,Flop,0,-103,103,DISCARD,0,1,3,"['9d', '2s', '3s', '2h', '4s']","['9s', '9h']","['6d', 'Ah', '2d']",[],"['6h', '3d', '8d']",4,4
4,Flop,1,-103,103,CHECK,0,0,0,"['2s', '2h']","['9s', '9h']","['6d', 'Ah', '2d']","['9d', '3s', '4s']","['6h', '3d', '8d']",4,4
4,Flop,0,-103,103,RAISE,5,0,0,"['2s', '2h']","['9s', '9h']","['6d', 'Ah', '2d']","['9d', '3s', '4s']","['6h', '3d', '8d']",4,4
4,Flop,1,-103,103,RAISE,7,0,0,"['2s', '2h']","['9s', '9h']","['6d', 'Ah', '2d']","['9d', '3s', '4s']","['6h', '3d', '8d']",4,4
4,Flop,0,-103,103,RAISE,16,0,0,"['2s', '2h']","['9s', '9h']","['6d', 'Ah', '2d']","['9d', '3s', '4s']","['6h', '3d', '8d']",9,9
4,Flop,1,-103,103,RAISE,28,0,0,"['2s', '2h']","['9s', '9h']","['6d', 'Ah', '2d']","['9d', '3s', '4s']","['6h', '3d', '8d']",16,16
