# Team 0: Distraction Is All You Need, Team 1: Ctrl+Alt+Defeat
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
5,Flop,1,-56,56,CALL,0,0,0,"['5h', 'As']","['2h', '4h']","['Ad', '7h', '3h']","['9d', '6d', '5s']","['6s', '9s', '5d']",11,11
5,Turn,0,-56,56,CHECK,0,0,0,"['5h', 'As']","['2h', '4h']","['Ad', '7h', '3h', '9h']","['9d', '6d', '5s']","['6s', '9s', '5d']",22,22
5,Turn,1,-56,56,RAISE,29,0,0,"['5h', 'As']","['2h', '4h']","['Ad', '7h', '3h', '9h']","['9d', '6d', '5s']","['6s', '9s', '5d']",22,22
5,Turn,0,-56,56,FOLD,0,0,0,"['5h', 'As']","['2h', '4h']","['Ad', '7h', '3h', '9h']","['9d', '6d', '5s']","['6s', '9s', '5d']",22,22
6,Pre-Flop,0,-78,78,CALL,0,0,0,"['4d', 'As', '9s', '5d', '6s']","['2h', '6h', '7s', '2s', '5s']",[],[],[],1,1
6,Pre-Flop,1,-78,78,RAISE,9,0,0,"['4d', 'As', '9s', '5d', '6s']","['2h', '6h', '7s', '2s', '5s']",[],[],[],2,2
6,Pre-Flop,0,-78,78,CALL,0,0,0,"['4d', 'As', '9s', '5d', '6s']","['2h', '6h', '7s', '2s', '5s']",[],[],[],2,2
6,Flop,1,-78,78,DISCARD,0,3,4,"['4d', 'As', '9s', '5d', '6s']","['2h', '6h', '7s', '2s', '5s']","['4s', 'Ah', '3s']",[],[],11,11
6,Flop,0,-78,78,DISCARD,0,0,1,"['4d', 'As', '9s', '5d', '6s']","['2s', '5s']","['4s', 'Ah', '3s']",[],"['2h', '6h', '7s']",11,11
6,Flop,1,-78,78,RAISE,14,0,0,"['4d', 'As']","['2s', '5s']","['4s', 'Ah', '3s']","['9s', '5d', '6s']","['2h', '6h', '7s']",11,11
6,Flop,0,-78,78,CALL,0,0,0,"['4d', 'As']","['2s', '5s']","['4s', 'Ah', '3s']","['9s', '5d', '6s']","['2h', '6h', '7s']",11,11
6,Turn,1,-78,78,RAISE,30,0,0,"['4d', 'As']","['2s', '5s']","['4s', 'Ah', '3s', '7d']","['9s', '5d', '6s']","['2h', '6h', '7s']",25,25
6,Turn,0,-78,78,CALL,0,0,0,"['4d', 'As']","['2s', '5s']","['4s', 'Ah', '3s', '7d']","['9s', '5d', '6s']","['2h', '6h', '7s']",25,25
6,River,1,-78,78,RAISE,45,0,0,"['4d', 'As']","['2s', '5s']","['4s', 'Ah', '3s', '7d', '8d']","['9s', '5d', '6s']","['2h', '6h', '7s']",55,55
6,River,0,-78,78,CALL,0,0,0,"['4d', 'As']","['2s', '5s']","['4s', 'Ah', '3s', '7d', '8d']","['9s', '5d', '6s']","['2h', '6h', '7s']",55,55
7,Pre-Flop,1,-178,178,RAISE,9,0,0,"['4d', '9s', '7s', 'Ah', '2h']","['3s', '3h', '7h', '6d', 'As']",[],[],[],1,1
7,Pre-Flop,0,-178,178,FOLD,0,0,0,"['4d', '9s', '7s', 'Ah', '2h']","['3s', '3h', '7h', '6d', 'As']",[],[],[],2,2
8,Pre-Flop,0,-180,180,CALL,0,0,0,"['2d', '7s', 'Ad', '5h', '5d']","['7h', '3d', '5s', '3s', 'Ah']",[],[],[],1,1
8,Pre-Flop,1,-180,180,RAISE,8,0,0,"['2d', '7s', 'Ad', '5h', '5d']","['7h', '3d', '5s', '3s', 'Ah']",[],[],[],2,2
8,Pre-Flop,0,-180,180,CALL,0,0,0,"['2d', '7s', 'Ad', '5h', '5d']","['7h', '3d', '5s', '3s', 'Ah']",[],[],[],2,2
8,Flop,1,-180,180,DISCARD,0,1,3,"['2d', '7s', 'Ad', '5h', '5d']","['7h', '3d', '5s', '3s', 'Ah']","['3h', '7d', '9d']",[],[],10,10
8,Flop,0,-180,180,DISCARD,0,1,2,"['2d', '7s', 'Ad', '5h', '5d']","['3d', '3s']","['3h', '7d', '9d']",[],"['7h', '5s', 'Ah']",10,10
8,Flop,1,-180,180,RAISE,14,0,0,"['7s', 'Ad']","['3d', '3s']","['3h', '7d', '9d']","['2d', '5h', '5d']","['7h', '5s', 'Ah']",10,10
8,Flop,0,-180,180,FOLD,0,0,0,"['7s', 'Ad']","['3d', '3s']","['3h', '7d', '9d']","['2d', '5h', '5d']","['7h', '5s', 'Ah']",10,10
9,Pre-Flop,1,-190,190,RAISE,9,0,0,"['As', '3s', '9d', 'Ah', '3h']","['4d', '7h', '7s', '5h', 'Ad']",[],[],[],1,1
9,Pre-Flop,0,-190,190,CALL,0,0,0,"['As', '3s', '9d', 'Ah', '3h']","['4d', '7h', '7s', '5h', 'Ad']",[],[],[],2,2
9,Flop,0,-190,190,DISCARD,0,0,3,"['As', '3s', '9d', 'Ah', '3h']","['4d', '7h', '7s', '5h', 'Ad']","['2d', '9s', '7d']",[],[],11,11
9,Flop,1,-190,190,DISCARD,0,1,2,"['As', 'Ah']","['4d', '7h', '7s', '5h', 'Ad']","['2d', '9s', '7d']","['3s', '9d', '3h']",[],11,11
9,Flop,0,-190,190,CHECK,0,0,0,"['As', 'Ah']","['7h', '7s']","['2d', '9s', '7d']","['3s', '9d', '3h']","['4d', '5h', 'Ad']",11,11
9,Flop,1,-190,190,RAISE,15,0,0,"['As', 'Ah']","['7h', '7s']","['2d', '9s', '7d']","['3s', '9d', '3h']","['4d', '5h', 'Ad']",11,11
9,Flop,0,-190,190,CALL,0,0,0,"['As', 'Ah']","['7h', '7s']","['2d', '9s', '7d']","['3s', '9d', '3h']","['4d', '5h', 'Ad']",11,11
9,Turn,0,-190,190,CHECK,0,0,0,"['As', 'Ah']","['7h', '7s']","['2d', '9s', '7d', '4s']","['3s', '9d', '3h']","['4d', '5h', 'Ad']",26,26
9,Turn,1,-190,190,RAISE,49,0,0,"['As', 'Ah']","['7h', '7s']","['2d', '9s', '7d', '4s']","['3s', '9d', '3h']","['4d', '5h', 'Ad']",26,26
9,Turn,0,-190,190,FOLD,0,0,0,"['As', 'Ah']","['7h', '7s']","['2d', '9s', '7d', '4s']","['3s', '9d', '3h']","['4d', '5h', 'Ad']",26,26
10,Pre-Flop,0,-216,216,CALL,0,0,0,"['Ah', '3d', '5d', '2d', '9s']","['6h', '4s', '9h', '3s', '6d']",[],[],[],1,1
10,Pre-Flop,1,-216,216,CHECK,0,0,0,"['Ah', '3d', '5d', '2d', '9s']","['6h', '4s', '9h', '3s', '6d']",[],[],[],2,2
10,Flop,1,-216,216,DISCARD,0,0,2,"['Ah', '3d', '5d', '2d', '9s']","['6h', '4s', '9h', '3s', '6d']","['Ad', '8s', '5h']",[],[],2,2
10,Flop,0,-216,216,DISCARD,0,0,2,"['Ah', '3d', '5d', '2d', '9s']","['6h', '9h']","['Ad', '8s', '5h']",[],"['4s', '3s', '6d']",2,2
10,Flop,1,-216,216,RAISE,2,0,0,"['Ah', '5d']","['6h', '9h']","['Ad', '8s', '5h']","['3d', '2d', '9s']","['4s', '3s', '6d']",2,2
10,Flop,0,-216,216,CALL,0,0,0,"['Ah', '5d']","['6h', '9h']","['Ad', '8s', '5h']","['3d', '2d', '9s']","['4s', '3s', '6d']",2,2
10,Turn,1,-216,216,CHECK,0,0,0,"['Ah', '5d']","['6h', '9h']","['Ad', '8s', '5h', '8h']","['3d', '2d', '9s']","['4s', '3s', '6d']",4,4
10,Turn,0,-216,216,CHECK,0,0,0,"['Ah', '5d']","['6h', '9h']","['Ad', '8s', '5h', '8h']","['3d', '2d', '9s']","['4s', '3s', '6d']",4,4
10,River,1,-216,216,CHECK,0,0,0,"['Ah', '5d']","['6h', '9h']","['Ad', '8s', '5h', '8h', '6s']","['3d', '2d', '9s']","['4s', '3s', '6d']",4,4
10,River,0,-216,216,CHECK,0,0,0,"['Ah', '5d']","['6h', '9h']","['Ad', '8s', '5h', '8h', '6s']","['3d', '2d', '9s']","['4s', '3s', '6d']",4,4
11,Pre-Flop,1,-212,212,RAISE,12,0,0,"['2h', '5s', '8h', '8s', '7d']","['6d', 'Ah', '9s', '3d', '6h']",[],[],[],1,1
11,Pre-Flop,0,-212,212,FOLD,0,0,0,"['2h', '5s', '8h', '8s', '7d']","['6d', 'Ah', '9s', '3d', '6h']",[],[],[],2,2
12,Pre-Flop,0,-214,214,CALL,0,0,0,"['9h', '8s', '4h', '2s', '3h']","['As', '3d', '5h', '2d', 'Ah']",[],[],[],1,1
12,Pre-Flop,1,-214,214,RAISE,11,0,0,"['9h', '8s', '4h', '2s', '3h']","['As', '3d', '5h', '2d', 'Ah']",[],[],[],2,2
12,Pre-Flop,0,-214,214,FOLD,0,0,0,"['9h', '8s', '4h', '2s', '3h']","['As', '3d', '5h', '2d', 'Ah']",[],[],[],2,2
13,Pre-Flop,1,-216,216,RAISE,2,0,0,"['2s', '6d', '3d', '8s', '5h']","['7h', '5s', 'Ah', '4d', '8h']",[],[],[],1,1
13,Pre-Flop,0,-216,216,CALL,0,0,0,"['2s', '6d', '3d', '8s', '5h']","['7h', '5s', 'Ah', '4d', '8h']",[],[],[],2,2
13,Flop,0,-216,216,DISCARD,0,1,4,"['2s', '6d', '3d', '8s', '5h']","['7h', '5s', 'Ah', '4d', '8h']","['7s', '5d', '7d']",[],[],4,4
13,Flop,1,-216,216,DISCARD,0,0,1,"['6d', '5h']","['7h', '5s', 'Ah', '4d', '8h']","['7s', '5d', '7d']","['2s', '3d', '8s']",[],4,4
13,Flop,0,-216,216,CHECK,0,0,0,"['6d', '5h']","['7h', '5s']","['7s', '5d', '7d']","['2s', '3d', '8s']","['Ah', '4d', '8h']",4,4
13,Flop,1,-216,216,RAISE,6,0,0,"['6d', '5h']","['7h', '5s']","['7s', '5d', '7d']","['2s', '3d', '8s']","['Ah', '4d', '8h']",4,4
13,Flop,0,-216,216,FOLD,0,0,0,"['6d', '5h']","['7h', '5s']","['7s', '5d', '7d']","['2s', '3d', '8s']","['Ah', '4d', '8h']",4,4
14,Pre-Flop,0,-220,220,RAISE,2,0,0,"['5s', 'As', 'Ah', '4d', '4h']","['8h', '8d', '6h', '8s', '2h']",[],[],[],1,1
14,Pre-Flop,1,-220,220,RAISE,5,0,0,"['5s', 'As', 'Ah', '4d', '4h']","['8h', '8d', '6h', '8s', '2h']",[],[],[],2,2
14,Pre-Flop,0,-220,220,CALL,0,0,0,"['5s', 'As', 'Ah', '4d', '4h']","['8h', '8d', '6h', '8s', '2h']",[],[],[],4,4
14,Flop,1,-220,220,DISCARD,0,2,4,"['5s', 'As', 'Ah', '4d', '4h']","['8h', '8d', '6h', '8s', '2h']","['6s', '2s', '2d']",[],[],9,9
14,Flop,0,-220,220,DISCARD,0,1,2,"['5s', 'As', 'Ah', '4d', '4h']","['6h', '2h']","['6s', '2s', '2d']",[],"['8h', '8d', '8s']",9,9
14,Flop,1,-220,220,RAISE,12,0,0,"['As', 'Ah']","['6h', '2h']","['6s', '2s', '2d']","['5s', '4d', '4h']","['8h', '8d', '8s']",9,9
14,Flop,0,-220,220,FOLD,0,0,0,"['As', 'Ah']","['6h', '2h']","['6s', '2s', '2d']","['5s', '4d', '4h']","['8h', '8d', '8s']",9,9
15,Pre-Flop,1,-229,229,RAISE,8,0,0,"['4s', '9s', '2s', '6d', '4d']","['9d', '3h', '3d', '7s', '5d']",[],[],[],1,1
15,Pre-Flop,0,-229,229,FOLD,0,0,0,"['4s', '9s', '2s', '6d', '4d']","['9d', '3h', '3d', '7s', '5d']",[],[],[],2,2
16,Pre-Flop,0,-231,231,CALL,0,0,0,"['8h', '6d', 'As', '4h', '3h']","['7d', '8s', '5d', '3s', '9s']",[],[],[],1,1
16,Pre-Flop,1,-231,231,RAISE,11,0,0,"['8h', '6d', 'As', '4h', '3h']","['7d', '8s', '5d', '3s', '9s']",[],[],[],2,2
16,Pre-Flop,0,-231,231,FOLD,0,0,0,"['8h', '6d', 'As', '4h', '3h']","['7d', '8s', '5d', '3s', '9s']",[],[],[],2,2
17,Pre-Flop,1,-233,233,RAISE,11,0,0,"['Ad', '2d', '9h', '5d', '9s']","['8s', '2s', '9d', '7h', '6h']",[],[],[],1,1
