# Team 0: Captain Cooked, Team 1: Distraction Is All You Need
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
4,Flop,1,-29,29,DISCARD,0,3,4,"['8h', '4h', '7h', 'Ah', '4d']","['3s', 'Ad', '8s', '5h', '9h']","['6h', '9d', '2h']",[],[],2,2
4,Flop,0,-29,29,DISCARD,0,2,3,"['8h', '4h', '7h', 'Ah', '4d']","['5h', '9h']","['6h', '9d', '2h']",[],"['3s', 'Ad', '8s']",2,2
4,Flop,1,-29,29,RAISE,2,0,0,"['7h', 'Ah']","['5h', '9h']","['6h', '9d', '2h']","['8h', '4h', '4d']","['3s', 'Ad', '8s']",2,2
4,Flop,0,-29,29,CALL,0,0,0,"['7h', 'Ah']","['5h', '9h']","['6h', '9d', '2h']","['8h', '4h', '4d']","['3s', 'Ad', '8s']",2,2
4,Turn,1,-29,29,CHECK,0,0,0,"['7h', 'Ah']","['5h', '9h']","['6h', '9d', '2h', '6d']","['8h', '4h', '4d']","['3s', 'Ad', '8s']",4,4
4,Turn,0,-29,29,CHECK,0,0,0,"['7h', 'Ah']","['5h', '9h']","['6h', '9d', '2h', '6d']","['8h', '4h', '4d']","['3s', 'Ad', '8s']",4,4
4,River,1,-29,29,CHECK,0,0,0,"['7h', 'Ah']","['5h', '9h']","['6h', '9d', '2h', '6d', '4s']","['8h', '4h', '4d']","['3s', 'Ad', '8s']",4,4
4,River,0,-29,29,CHECK,0,0,0,"['7h', 'Ah']","['5h', '9h']","['6h', '9d', '2h', '6d', '4s']","['8h', '4h', '4d']","['3s', 'Ad', '8s']",4,4
5,Pre-Flop,1,-33,33,CALL,0,0,0,"['3d', '6h', '5h', '3s', '6s']","['5s', '9d', 'Ah', '9h', '8d']",[],[],[],1,1
5,Pre-Flop,0,-33,33,CHECK,0,0,0,"['3d', '6h', '5h', '3s', '6s']","['5s', '9d', 'Ah', '9h', '8d']",[],[],[],2,2
5,Flop,0,-33,33,DISCARD,0,0,1,"['3d', '6h', '5h', '3s', '6s']","['5s', '9d', 'Ah', '9h', '8d']","['4s', '5d', '7h']",[],[],2,2
5,Flop,1,-33,33,DISCARD,0,0,4,"['3d', '6h']","['5s', '9d', 'Ah', '9h', '8d']","['4s', '5d', '7h']","['5h', '3s', '6s']",[],2,2
5,Flop,0,-33,33,RAISE,15,0,0,"['3d', '6h']","['5s', '8d']","['4s', '5d', '7h']","['5h', '3s', '6s']","['9d', 'Ah', '9h']",2,2
5,Flop,1,-33,33,FOLD,0,0,0,"['3d', '6h']","['5s', '8d']","['4s', '5d', '7h']","['5h', '3s', '6s']","['9d', 'Ah', '9h']",2,2
