# Team 0: Uncountable Sean Jacksons, Team 1: if my_turn{fold()}
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
3,Turn,0,-98,98,CHECK,0,0,0,"['3s', '9s']","['9d', '7d']","['9h', '7s', '4s', '4h']","['5s', 'Ad', '5d']","['2s', '8h', '6h']",100,100
3,Turn,1,-98,98,CHECK,0,0,0,"['3s', '9s']","['9d', '7d']","['9h', '7s', '4s', '4h']","['5s', 'Ad', '5d']","['2s', '8h', '6h']",100,100
3,River,0,-98,98,CHECK,0,0,0,"['3s', '9s']","['9d', '7d']","['9h', '7s', '4s', '4h', '4d']","['5s', 'Ad', '5d']","['2s', '8h', '6h']",100,100
3,River,1,-98,98,CHECK,0,0,0,"['3s', '9s']","['9d', '7d']","['9h', '7s', '4s', '4h', '4d']","['5s', 'Ad', '5d']","['2s', '8h', '6h']",100,100
4,Pre-Flop,0,-98,98,RAISE,2,0,0,"['9d', '8s', 'Ad', '2h', '5h']","['6d', '5s', '5d', '6s', 'Ah']",[],[],[],1,1
4,Pre-Flop,1,-98,98,RAISE,11,0,0,"['9d', '8s', 'Ad', '2h', '5h']","['6d', '5s', '5d', '6s', 'Ah']",[],[],[],2,2
4,Pre-Flop,0,-98,98,CALL,0,0,0,"['9d', '8s', 'Ad', '2h', '5h']","['6d', '5s', '5d', '6s', 'Ah']",[],[],[],4,4
4,Flop,1,-98,98,DISCARD,0,0,2,"['9d', '8s', 'Ad', '2h', '5h']","['6d', '5s', '5d', '6s', 'Ah']","['4d', '3s', '9h']",[],[],15,15
4,Flop,0,-98,98,DISCARD,0,0,1,"['9d', '8s', 'Ad', '2h', '5h']","['6d', '5d']","['4d', '3s', '9h']",[],"['5s', '6s', 'Ah']",15,15
4,Flop,1,-98,98,CHECK,0,0,0,"['9d', '8s']","['6d', '5d']","['4d', '3s', '9h']","['Ad', '2h', '5h']","['5s', '6s', 'Ah']",15,15
4,Flop,0,-98,98,RAISE,15,0,0,"['9d', '8s']","['6d', '5d']","['4d', '3s', '9h']","['Ad', '2h', '5h']","['5s', '6s', 'Ah']",15,15
4,Flop,1,-98,98,CALL,0,0,0,"['9d', '8s']","['6d', '5d']","['4d', '3s', '9h']","['Ad', '2h', '5h']","['5s', '6s', 'Ah']",15,15
4,Turn,1,-98,98,CHECK,0,0,0,"['9d', '8s']","['6d', '5d']","['4d', '3s', '9h', '6h']","['Ad', '2h', '5h']","['5s', '6s', 'Ah']",30,30
4,Turn,0,-98,98,CHECK,0,0,0,"['9d', '8s']","['6d', '5d']","['4d', '3s', '9h', '6h']","['Ad', '2h', '5h']","['5s', '6s', 'Ah']",30,30
4,River,1,-98,98,CHECK,0,0,0,"['9d', '8s']","['6d', '5d']","['4d', '3s', '9h', '6h', '3d']","['Ad', '2h', '5h']","['5s', '6s', 'Ah']",30,30
4,River,0,-98,98,RAISE,24,0,0,"['9d', '8s']","['6d', '5d']","['4d', '3s', '9h', '6h', '3d']","['Ad', '2h', '5h']","['5s', '6s', 'Ah']",30,30
4,River,1,-98,98,CALL,0,0,0,"['9d', '8s']","['6d', '5d']","['4d', '3s', '9h', '6h', '3d']","['Ad', '2h', '5h']","['5s', '6s', 'Ah']",30,30
5,Pre-Flop,1,-44,44,RAISE,13,0,0,"['3s', '4h', '2h', '6d', '8d']","['As', 'Ah', '4d', '9h', '7d']",[],[],[],1,1
5,Pre-Flop,0,-44,44,FOLD,0,0,0,"['3s', '4h', '2h', '6d', '8d']","['As', 'Ah', '4d', '9h', '7d']",[],[],[],2,2
6,Pre-Flop,0,-46,46,RAISE,2,0,0,"['Ad', '4d', '9h', '8d', '5s']","['4s', '2d', '8s', 'As', '3d']",[],[],[],1,1
6,Pre-Flop,1,-46,46,RAISE,11,0,0,"['Ad', '4d', '9h', '8d', '5s']","['4s', '2d', '8s', 'As', '3d']",[],[],[],2,2
6,Pre-Flop,0,-46,46,CALL,0,0,0,"['Ad', '4d', '9h', '8d', '5s']","['4s', '2d', '8s', 'As', '3d']",[],[],[],4,4
6,Flop,1,-46,46,DISCARD,0,1,4,"['Ad', '4d', '9h', '8d', '5s']","['4s', '2d', '8s', 'As', '3d']","['5d', '3h', '9d']",[],[],15,15
6,Flop,0,-46,46,DISCARD,0,0,2,"['Ad', '4d', '9h', '8d', '5s']","['2d', '3d']","['5d', '3h', '9d']",[],"['4s', '8s', 'As']",15,15
6,Flop,1,-46,46,CHECK,0,0,0,"['Ad', '9h']","['2d', '3d']","['5d', '3h', '9d']","['4d', '8d', '5s']","['4s', '8s', 'As']",15,15
6,Flop,0,-46,46,RAISE,15,0,0,"['Ad', '9h']","['2d', '3d']","['5d', '3h', '9d']","['4d', '8d', '5s']","['4s', '8s', 'As']",15,15
6,Flop,1,-46,46,CALL,0,0,0,"['Ad', '9h']","['2d', '3d']","['5d', '3h', '9d']","['4d', '8d', '5s']","['4s', '8s', 'As']",15,15
6,Turn,1,-46,46,CHECK,0,0,0,"['Ad', '9h']","['2d', '3d']","['5d', '3h', '9d', '6h']","['4d', '8d', '5s']","['4s', '8s', 'As']",30,30
6,Turn,0,-46,46,CHECK,0,0,0,"['Ad', '9h']","['2d', '3d']","['5d', '3h', '9d', '6h']","['4d', '8d', '5s']","['4s', '8s', 'As']",30,30
6,River,1,-46,46,CHECK,0,0,0,"['Ad', '9h']","['2d', '3d']","['5d', '3h', '9d', '6h', '4h']","['4d', '8d', '5s']","['4s', '8s', 'As']",30,30
6,River,0,-46,46,CHECK,0,0,0,"['Ad', '9h']","['2d', '3d']","['5d', '3h', '9d', '6h', '4h']","['4d', '8d', '5s']","['4s', '8s', 'As']",30,30
7,Pre-Flop,1,-76,76,CALL,0,0,0,"['Ad', '6d', '8h', '2d', '9h']","['3h', '7s', '2s', '6s', '3s']",[],[],[],1,1
