# Team 0: PlayerAgent, Team 1: ProbabilityAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
3,Flop,0,-10,10,CHECK,0,0,0,"['Ad', '5d']","['2h', '7s']","['8d', '2s', '2d']","['3s', '7h', '4d']","['Ah', '7d', '5s']",2,2
3,Flop,1,-10,10,RAISE,3,0,0,"['Ad', '5d']","['2h', '7s']","['8d', '2s', '2d']","['3s', '7h', '4d']","['Ah', '7d', '5s']",2,2
3,Flop,0,-10,10,CALL,0,0,0,"['Ad', '5d']","['2h', '7s']","['8d', '2s', '2d']","['3s', '7h', '4d']","['Ah', '7d', '5s']",2,2
3,Turn,0,-10,10,CHECK,0,0,0,"['Ad', '5d']","['2h', '7s']","['8d', '2s', '2d', '6h']","['3s', '7h', '4d']","['Ah', '7d', '5s']",5,5
3,Turn,1,-10,10,RAISE,6,0,0,"['Ad', '5d']","['2h', '7s']","['8d', '2s', '2d', '6h']","['3s', '7h', '4d']","['Ah', '7d', '5s']",5,5
3,Turn,0,-10,10,FOLD,0,0,0,"['Ad', '5d']","['2h', '7s']","['8d', '2s', '2d', '6h']","['3s', '7h', '4d']","['Ah', '7d', '5s']",5,5
4,Pre-Flop,0,-15,15,CALL,0,0,0,"['2d', '8s', '7s', '4s', 'As']","['6d', '2h', '6h', '3h', '3s']",[],[],[],1,1
4,Pre-Flop,1,-15,15,CHECK,0,0,0,"['2d', '8s', '7s', '4s', 'As']","['6d', '2h', '6h', '3h', '3s']",[],[],[],2,2
4,Flop,1,-15,15,DISCARD,0,3,4,"['2d', '8s', '7s', '4s', 'As']","['6d', '2h', '6h', '3h', '3s']","['3d', '9s', '2s']",[],[],2,2
4,Flop,0,-15,15,DISCARD,0,1,4,"['2d', '8s', '7s', '4s', 'As']","['3h', '3s']","['3d', '9s', '2s']",[],"['6d', '2h', '6h']",2,2
